#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	ABCA9	9606.ENSP00000284425	9606.ENSP00000342216	0	0	0	0.960	0.219	0.255	0	0.912	0.415
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0	0.960	0.291	0.368	0	0.923	0.550
ABCA8	ASXL3	9606.ENSP00000467271	9606.ENSP00000269197	0	0	0	0	0.062	0.125	0	0.435	0.496
ABCA8	ABCC2	9606.ENSP00000467271	9606.ENSP00000359478	0	0	0	0.539	0.083	0.135	0	0.660	0.419
ABCA8	SPARCL1	9606.ENSP00000467271	9606.ENSP00000414856	0	0	0	0	0.152	0	0	0.342	0.418
ABCA8	ENC1	9606.ENSP00000467271	9606.ENSP00000479101	0	0	0	0	0.062	0	0	0.432	0.444
ABCB1	CLDN11	9606.ENSP00000478255	9606.ENSP00000064724	0	0	0	0	0	0	0	0.545	0.546
ABCB1	SLC22A4	9606.ENSP00000478255	9606.ENSP00000200652	0	0.004	0	0	0.049	0.059	0	0.525	0.538
ABCB1	CCND1	9606.ENSP00000478255	9606.ENSP00000227507	0	0	0	0	0	0	0	0.458	0.457
ABCB1	NR3C1	9606.ENSP00000478255	9606.ENSP00000231509	0	0	0	0	0	0.056	0	0.391	0.400
ABCB1	ABCG2	9606.ENSP00000478255	9606.ENSP00000237612	0	0	0	0.556	0.091	0.135	0	0.931	0.518
ABCB1	SLC10A2	9606.ENSP00000478255	9606.ENSP00000245312	0	0	0	0	0.049	0	0	0.482	0.486
ABCB1	SLC22A5	9606.ENSP00000478255	9606.ENSP00000245407	0	0.004	0	0	0.049	0.059	0	0.522	0.535
ABCB1	GGH	9606.ENSP00000478255	9606.ENSP00000260118	0	0	0	0	0	0	0	0.432	0.432
ABCB1	SLCO1B3	9606.ENSP00000478255	9606.ENSP00000261196	0	0	0	0	0.062	0	0	0.714	0.720
ABCB1	SLC22A3	9606.ENSP00000478255	9606.ENSP00000275300	0	0.002	0	0	0.064	0.059	0	0.419	0.444
ABCB1	SLC7A11	9606.ENSP00000478255	9606.ENSP00000280612	0	0	0	0	0.050	0.056	0	0.391	0.406
ABCB1	CYP2C18	9606.ENSP00000478255	9606.ENSP00000285979	0	0	0	0	0.083	0	0	0.377	0.404
ABCB1	KIT	9606.ENSP00000478255	9606.ENSP00000288135	0	0	0	0	0.062	0	0	0.457	0.468
ABCB1	HPGDS	9606.ENSP00000478255	9606.ENSP00000295256	0	0	0	0	0.063	0	0	0.655	0.663
ABCB1	SLC51A	9606.ENSP00000478255	9606.ENSP00000296327	0	0	0	0	0.065	0	0	0.442	0.456
ABCB1	UGT1A6	9606.ENSP00000478255	9606.ENSP00000303174	0	0	0	0	0.062	0	0	0.689	0.696
ABCB1	UGT1A8	9606.ENSP00000478255	9606.ENSP00000304845	0	0	0	0	0.062	0	0	0.689	0.696
ABCB1	SOX2	9606.ENSP00000478255	9606.ENSP00000323588	0	0	0	0	0	0.057	0	0.408	0.417
ABCB1	RUNDC3B	9606.ENSP00000478255	9606.ENSP00000337732	0	0	0	0	0.107	0	0	0.636	0.661
ABCB1	CYP3A4	9606.ENSP00000478255	9606.ENSP00000337915	0	0	0	0	0.083	0	0	0.962	0.964
ABCB1	CAV1	9606.ENSP00000478255	9606.ENSP00000339191	0	0	0	0	0	0.490	0	0.891	0.942
ABCB1	ATP2B4	9606.ENSP00000478255	9606.ENSP00000350310	0	0	0	0	0.052	0.063	0	0.594	0.608
ABCB1	ATP2A3	9606.ENSP00000478255	9606.ENSP00000353072	0	0	0	0	0.052	0.063	0	0.642	0.654
ABCB1	CYP2D6	9606.ENSP00000478255	9606.ENSP00000353820	0	0	0	0	0.062	0	0	0.742	0.748
ABCB1	DRD2	9606.ENSP00000478255	9606.ENSP00000354859	0	0	0	0	0	0	0	0.401	0.400
ABCB1	DPYD	9606.ENSP00000478255	9606.ENSP00000359211	0.059	0	0	0	0.062	0	0	0.512	0.532
ABCB1	ABCC2	9606.ENSP00000478255	9606.ENSP00000359478	0	0	0	0.597	0.065	0.056	0	0.888	0.407
ABCB1	SLC28A3	9606.ENSP00000478255	9606.ENSP00000365413	0	0	0	0	0	0	0	0.464	0.463
ABCB1	SLC15A1	9606.ENSP00000478255	9606.ENSP00000365686	0	0	0	0	0.058	0.064	0	0.546	0.564
ABCB1	SULT1A1	9606.ENSP00000478255	9606.ENSP00000378972	0	0	0	0	0.062	0	0	0.395	0.408
ABCB1	CLDN5	9606.ENSP00000478255	9606.ENSP00000385477	0	0	0	0	0.111	0	0	0.487	0.524
ABCB1	SLC2A1	9606.ENSP00000478255	9606.ENSP00000416293	0	0	0	0	0.059	0	0	0.444	0.454
ABCB1	SLCO1B3-SLCO1B7	9606.ENSP00000478255	9606.ENSP00000441269	0	0	0	0	0.062	0	0	0.714	0.720
ABCB1	ATP8B1	9606.ENSP00000478255	9606.ENSP00000445359	0	0	0	0	0.062	0.063	0	0.395	0.422
ABCB1	NR1H4	9606.ENSP00000478255	9606.ENSP00000447149	0	0	0	0	0.091	0.056	0	0.366	0.408
ABCB1	MYC	9606.ENSP00000478255	9606.ENSP00000479618	0	0	0	0	0	0.108	0	0.468	0.505
ABCB1	VEGFA	9606.ENSP00000478255	9606.ENSP00000478570	0	0	0	0	0.062	0	0	0.505	0.515
ABCB11	SLCO4A1	9606.ENSP00000263817	9606.ENSP00000217159	0	0	0	0	0	0	0	0.635	0.635
ABCB11	APOB	9606.ENSP00000263817	9606.ENSP00000233242	0	0	0	0	0.092	0	0	0.369	0.402
ABCB11	APOA1	9606.ENSP00000263817	9606.ENSP00000236850	0	0	0	0	0.093	0	0	0.436	0.467
ABCB11	ABCG2	9606.ENSP00000263817	9606.ENSP00000237612	0	0	0	0.560	0.062	0.135	0	0.765	0.434
ABCB11	SLC10A2	9606.ENSP00000263817	9606.ENSP00000245312	0	0	0	0	0.062	0	0	0.784	0.789
ABCB11	SLCO1B3	9606.ENSP00000263817	9606.ENSP00000261196	0	0	0	0	0.148	0	0	0.779	0.804
