#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAT2	PUS7	9606.ENSP00000237283	9606.ENSP00000348722	0.083	0	0	0	0.066	0	0	0.392	0.434
ADAT2	TTC26	9606.ENSP00000237283	9606.ENSP00000419279	0	0	0	0	0	0	0	0.621	0.621
ASCL2	AXIN2	9606.ENSP00000332293	9606.ENSP00000302625	0	0	0	0	0	0	0	0.611	0.611
ASCL2	RNF43	9606.ENSP00000332293	9606.ENSP00000463069	0	0	0	0	0.065	0	0	0.403	0.417
AXIN2	CCND1	9606.ENSP00000302625	9606.ENSP00000227507	0	0	0	0	0	0	0	0.742	0.742
AXIN2	WNT2	9606.ENSP00000302625	9606.ENSP00000265441	0	0	0	0	0	0.104	0	0.767	0.782
AXIN2	NKD2	9606.ENSP00000302625	9606.ENSP00000296849	0	0	0	0	0.060	0	0	0.457	0.467
AXIN2	LRP8	9606.ENSP00000302625	9606.ENSP00000303634	0	0	0	0	0.054	0.246	0	0.260	0.426
AXIN2	RNF43	9606.ENSP00000302625	9606.ENSP00000463069	0	0	0	0	0.062	0.056	0	0.616	0.630
AXIN2	TCF7	9606.ENSP00000302625	9606.ENSP00000340347	0	0	0	0	0.062	0.127	0.900	0.614	0.964
C17orf96	CBX8	9606.ENSP00000484710	9606.ENSP00000269385	0	0	0	0	0	0	0.360	0.184	0.455
C17orf96	CBX2	9606.ENSP00000484710	9606.ENSP00000308750	0	0	0	0	0.062	0	0.360	0.156	0.449
CBX2	SALL4	9606.ENSP00000308750	9606.ENSP00000217086	0	0	0	0	0.076	0.102	0.650	0.141	0.717
CBX2	MDFI	9606.ENSP00000308750	9606.ENSP00000230321	0	0	0	0	0.083	0.417	0	0.076	0.462
CBX2	CBX8	9606.ENSP00000308750	9606.ENSP00000269385	0	0	0	0.668	0.088	0	0.900	0.832	0.930
CBX8	SALL4	9606.ENSP00000269385	9606.ENSP00000217086	0	0	0	0	0	0.102	0.650	0.103	0.693
CCND1	SALL4	9606.ENSP00000227507	9606.ENSP00000217086	0	0	0	0	0	0	0	0.878	0.878
CCND1	CDH3	9606.ENSP00000227507	9606.ENSP00000264012	0	0	0	0	0	0	0	0.407	0.407
CCND1	TCF7	9606.ENSP00000227507	9606.ENSP00000340347	0	0	0	0	0.051	0	0	0.428	0.434
CCND1	ETV4	9606.ENSP00000227507	9606.ENSP00000321835	0	0	0	0	0.139	0	0	0.372	0.436
CCND1	ENC1	9606.ENSP00000227507	9606.ENSP00000479101	0	0	0	0	0	0	0	0.519	0.519
CCND1	SOX4	9606.ENSP00000227507	9606.ENSP00000244745	0	0	0	0	0	0	0	0.520	0.520
CCND1	MET	9606.ENSP00000227507	9606.ENSP00000317272	0	0	0	0	0.139	0	0	0.629	0.667
CCND1	WNT2	9606.ENSP00000227507	9606.ENSP00000265441	0	0	0	0	0	0	0	0.745	0.745
CDH3	CLDN1	9606.ENSP00000264012	9606.ENSP00000295522	0	0	0	0	0.166	0	0	0.376	0.457
CEMIP	VWA2	9606.ENSP00000378177	9606.ENSP00000376708	0	0	0	0	0	0	0	0.503	0.503
COL11A1	SPTBN2	9606.ENSP00000359114	9606.ENSP00000432568	0	0	0	0	0.049	0	0	0.495	0.499
CSE1L	XPOT	9606.ENSP00000262982	9606.ENSP00000327821	0	0	0	0	0.267	0	0	0.874	0.903
DKC1	PUS7	9606.ENSP00000358563	9606.ENSP00000348722	0	0	0	0	0.656	0.061	0	0.789	0.926
DKC1	TRMT1	9606.ENSP00000358563	9606.ENSP00000466967	0	0	0	0	0.236	0.148	0	0.288	0.497
DKC1	UTP14A	9606.ENSP00000358563	9606.ENSP00000377944	0	0	0	0	0.671	0.698	0	0.279	0.922
DKC1	NOP2	9606.ENSP00000358563	9606.ENSP00000371858	0.071	0	0	0	0.876	0.313	0	0.352	0.942
EIF2S2	TOMM34	9606.ENSP00000364119	9606.ENSP00000361900	0	0	0	0	0.061	0	0	0.461	0.472
EIF2S2	HSPD1	9606.ENSP00000364119	9606.ENSP00000373620	0	0	0	0	0.274	0	0	0.208	0.400
ETV4	SLC6A6	9606.ENSP00000321835	9606.ENSP00000480890	0	0	0	0	0	0	0	0.475	0.475
FOXQ1	KRT23	9606.ENSP00000296839	9606.ENSP00000209718	0	0	0	0	0.067	0	0	0.444	0.459
GLS2	SLC7A5	9606.ENSP00000310447	9606.ENSP00000261622	0.060	0	0	0	0.063	0	0	0.475	0.497
GTF2IRD1	RHPN1	9606.ENSP00000397566	9606.ENSP00000289013	0	0	0	0	0	0	0	0.451	0.451
HSPD1	TRAP1	9606.ENSP00000373620	9606.ENSP00000246957	0	0	0	0	0.554	0.932	0	0.593	0.986
KAT2A	RAE1	9606.ENSP00000225916	9606.ENSP00000379182	0	0	0	0	0.062	0.345	0	0.123	0.414
LRP8	SLC6A6	9606.ENSP00000303634	9606.ENSP00000480890	0	0	0	0	0.062	0	0	0.545	0.555
LRP8	SLC39A10	9606.ENSP00000303634	9606.ENSP00000386766	0	0	0	0	0.062	0	0	0.552	0.562
MACC1	MET	9606.ENSP00000383185	9606.ENSP00000317272	0	0	0	0	0.062	0	0	0.643	0.650
NOP2	PUS7	9606.ENSP00000371858	9606.ENSP00000348722	0	0	0	0	0.828	0.066	0	0.381	0.891
NOP2	TRMT1	9606.ENSP00000371858	9606.ENSP00000466967	0	0	0	0	0.825	0.193	0	0.368	0.903
NOP2	UTP14A	9606.ENSP00000371858	9606.ENSP00000377944	0	0	0	0	0.818	0.697	0	0.168	0.950
POU5F1B	SALL4	9606.ENSP00000419298	9606.ENSP00000217086	0	0	0	0	0.089	0.618	0	0.574	0.839
PUS7	UTP14A	9606.ENSP00000348722	9606.ENSP00000377944	0	0	0	0	0.652	0	0	0	0.652
PUS7	TRMT1	9606.ENSP00000348722	9606.ENSP00000466967	0.051	0	0	0	0.508	0.115	0	0.378	0.708
RAE1	XPOT	9606.ENSP00000379182	9606.ENSP00000327821	0	0	0	0	0.137	0	0.900	0.526	0.955
RNF43	TOMM34	9606.ENSP00000463069	9606.ENSP00000361900	0	0	0	0	0	0	0	0.636	0.636
SLC39A10	SLC6A6	9606.ENSP00000386766	9606.ENSP00000480890	0.043	0	0	0	0	0	0	0.652	0.653
SLC6A6	SLC7A5	9606.ENSP00000480890	9606.ENSP00000261622	0.041	0	0	0	0.066	0.076	0	0.452	0.486
SLC7A5	TRIB3	9606.ENSP00000261622	9606.ENSP00000217233	0	0	0	0	0.136	0.058	0	0.602	0.647
SOX4	TCF7	9606.ENSP00000244745	9606.ENSP00000340347	0	0	0	0	0.062	0.153	0.600	0.545	0.836
TCF7	WNT2	9606.ENSP00000340347	9606.ENSP00000265441	0	0	0	0	0	0.213	0	0.515	0.602
TCF7	TEAD4	9606.ENSP00000340347	9606.ENSP00000352926	0	0	0	0	0.063	0.153	0.800	0.119	0.841
